Delivery Start (CET);Delivery End (CET);NO4 NO4->FI Export (MW);NO4 FI->NO4 Import (MW);NO4 NO4->NO3 Export (MW);NO4 NO3->NO4 Import (MW);NO4 NO4->SE1 Export (MW);NO4 SE1->NO4 Import (MW);NO4 NO4->SE2 Export (MW);NO4 SE2->NO4 Import (MW);NO4 Total Export (MW);NO4 Total Import (MW);NO4 Total Net Position (MW)
01.01.2025 00:00:00;01.01.2025 01:00:00;0;0;1237.3;0;0;510.3;0;0;1237.3;510.3;-727
01.01.2025 01:00:00;01.01.2025 02:00:00;0;0;602.6;0;0;514.3;0;0;602.6;514.3;-88.3
01.01.2025 02:00:00;01.01.2025 03:00:00;0;0;140.7;0;0;476.2;0;0;140.7;476.2;335.5
01.01.2025 03:00:00;01.01.2025 04:00:00;0;0;0;0;0;201.4;0;363.6;0;565;565
01.01.2025 04:00:00;01.01.2025 05:00:00;0;0;0;0;0;0;0;183.5;0;183.5;183.5
01.01.2025 05:00:00;01.01.2025 06:00:00;0;0;0;0;0;43.2;0;427.3;0;470.5;470.5
01.01.2025 06:00:00;01.01.2025 07:00:00;0;0;163.7;0;0;0;0;0;163.7;0;-163.7
01.01.2025 07:00:00;01.01.2025 08:00:00;0;0;405.3;0;0;0;0;0;405.3;0;-405.3
01.01.2025 08:00:00;01.01.2025 09:00:00;0;0;907.5;0;0;238.1;0;0;907.5;238.1;-669.4
01.01.2025 09:00:00;01.01.2025 10:00:00;0;0;1327.5;0;0;185.9;0;0;1327.5;185.9;-1141.6
01.01.2025 10:00:00;01.01.2025 11:00:00;0;0;1401.2;0;0;278.3;0;0;1401.2;278.3;-1122.9
01.01.2025 11:00:00;01.01.2025 12:00:00;0;0;1333.6;0;0;321.3;0;0;1333.6;321.3;-1012.3
01.01.2025 12:00:00;01.01.2025 13:00:00;0;0;1360;0;0;292.1;0;0;1360;292.1;-1067.9
01.01.2025 13:00:00;01.01.2025 14:00:00;0;0;1428.2;0;0;271.1;0;0;1428.2;271.1;-1157.1
01.01.2025 14:00:00;01.01.2025 15:00:00;0;0;1551.5;0;0;354.5;0;0;1551.5;354.5;-1197
01.01.2025 15:00:00;01.01.2025 16:00:00;0;0;1750.8;0;0;527.5;0;0;1750.8;527.5;-1223.3
01.01.2025 16:00:00;01.01.2025 17:00:00;0;0;1853.5;0;0;513.1;0;0;1853.5;513.1;-1340.4
01.01.2025 17:00:00;01.01.2025 18:00:00;0;0;1865.6;0;0;454.8;0;0;1865.6;454.8;-1410.8
01.01.2025 18:00:00;01.01.2025 19:00:00;0;0;1897;0;0;623.1;0;0;1897;623.1;-1273.9
01.01.2025 19:00:00;01.01.2025 20:00:00;0;0;1870.3;0;0;575.5;0;0;1870.3;575.5;-1294.8
01.01.2025 20:00:00;01.01.2025 21:00:00;0;0;1794;0;0;525.5;0;0;1794;525.5;-1268.5
01.01.2025 21:00:00;01.01.2025 22:00:00;0;0;1617.5;0;0;549.4;0;0;1617.5;549.4;-1068.1
01.01.2025 22:00:00;01.01.2025 23:00:00;0;0;1717.2;0;0;628.9;0;0;1717.2;628.9;-1088.3
01.01.2025 23:00:00;02.01.2025 00:00:00;0;0;1431.7;0;0;709.8;0;0;1431.7;709.8;-721.9
02.01.2025 00:00:00;02.01.2025 01:00:00;0;0;1140.7;0;0;482;0;0;1140.7;482;-658.7
02.01.2025 01:00:00;02.01.2025 02:00:00;0;0;853.6;0;0;272.1;0;0;853.6;272.1;-581.5
02.01.2025 02:00:00;02.01.2025 03:00:00;0;0;648;0;0;277;0;0;648;277;-371
02.01.2025 03:00:00;02.01.2025 04:00:00;0;0;882.7;0;0;625.4;0;0;882.7;625.4;-257.3
02.01.2025 04:00:00;02.01.2025 05:00:00;0;0;1002.1;0;0;527.3;0;0;1002.1;527.3;-474.8
02.01.2025 05:00:00;02.01.2025 06:00:00;0;0;977;0;0;14.5;0;0;977;14.5;-962.5
02.01.2025 06:00:00;02.01.2025 07:00:00;0;0;338.9;0;0;0;746.4;0;1085.3;0;-1085.3
02.01.2025 07:00:00;02.01.2025 08:00:00;0;0;0;0;0;0;1023.9;0;1023.9;0;-1023.9
02.01.2025 08:00:00;02.01.2025 09:00:00;0;0;423.3;0;0;0;729.2;0;1152.5;0;-1152.5
02.01.2025 09:00:00;02.01.2025 10:00:00;0;0;336;0;0;0;818.1;0;1154.1;0;-1154.1
02.01.2025 10:00:00;02.01.2025 11:00:00;0;0;396.8;0;0;0;761.8;0;1158.6;0;-1158.6
02.01.2025 11:00:00;02.01.2025 12:00:00;0;0;392.8;0;0;0;788.6;0;1181.4;0;-1181.4
02.01.2025 12:00:00;02.01.2025 13:00:00;0;0;206.7;0;0;0;885.4;0;1092.1;0;-1092.1
02.01.2025 13:00:00;02.01.2025 14:00:00;0;0;0;0;105.7;0;937.3;0;1043;0;-1043
02.01.2025 14:00:00;02.01.2025 15:00:00;0;0;0;0;82.7;0;973.8;0;1056.5;0;-1056.5
02.01.2025 15:00:00;02.01.2025 16:00:00;0;0;0;0;34.3;0;1002.3;0;1036.6;0;-1036.6
02.01.2025 16:00:00;02.01.2025 17:00:00;0;0;643.3;0;0;0;508.4;0;1151.7;0;-1151.7
02.01.2025 17:00:00;02.01.2025 18:00:00;0;0;451.2;0;0;0;665.6;0;1116.8;0;-1116.8
02.01.2025 18:00:00;02.01.2025 19:00:00;0;0;463.5;0;0;0;657.3;0;1120.8;0;-1120.8
02.01.2025 19:00:00;02.01.2025 20:00:00;0;0;0;0;0;0;1076.8;0;1076.8;0;-1076.8
02.01.2025 20:00:00;02.01.2025 21:00:00;0;0;0;0;0;0;1051.1;0;1051.1;0;-1051.1
02.01.2025 21:00:00;02.01.2025 22:00:00;0;0;0;0;0;0;955.9;0;955.9;0;-955.9
02.01.2025 22:00:00;02.01.2025 23:00:00;0;0;0;0;0;0;1114.3;0;1114.3;0;-1114.3
02.01.2025 23:00:00;03.01.2025 00:00:00;0;0;156;0;0;0;1042.1;0;1198.1;0;-1198.1
03.01.2025 00:00:00;03.01.2025 01:00:00;0;0;730.7;0;0;0;301.7;0;1032.4;0;-1032.4
03.01.2025 01:00:00;03.01.2025 02:00:00;0;0;1204.7;0;0;0;39.4;0;1244.1;0;-1244.1
03.01.2025 02:00:00;03.01.2025 03:00:00;0;0;1412.8;0;0;0;0;0;1412.8;0;-1412.8
03.01.2025 03:00:00;03.01.2025 04:00:00;0;0;1562.8;0;0;0;0;0;1562.8;0;-1562.8
03.01.2025 04:00:00;03.01.2025 05:00:00;0;0;1601.5;0;0;30.5;0;0;1601.5;30.5;-1571
03.01.2025 05:00:00;03.01.2025 06:00:00;0;0;1710.3;0;0;0;0;0;1710.3;0;-1710.3
03.01.2025 06:00:00;03.01.2025 07:00:00;0;0;1161.4;0;0;0;499.5;0;1660.9;0;-1660.9
03.01.2025 07:00:00;03.01.2025 08:00:00;0;0;140.5;0;0;0;1366.6;0;1507.1;0;-1507.1
03.01.2025 08:00:00;03.01.2025 09:00:00;0;0;407.7;0;0;0;1120.7;0;1528.4;0;-1528.4
03.01.2025 09:00:00;03.01.2025 10:00:00;0;0;1256.1;0;0;0;480.4;0;1736.5;0;-1736.5
03.01.2025 10:00:00;03.01.2025 11:00:00;0;0;1452;0;0;0;202.5;0;1654.5;0;-1654.5
03.01.2025 11:00:00;03.01.2025 12:00:00;0;0;1515.4;0;0;0;136.3;0;1651.7;0;-1651.7
03.01.2025 12:00:00;03.01.2025 13:00:00;0;0;1576.3;0;0;0;96.6;0;1672.9;0;-1672.9
03.01.2025 13:00:00;03.01.2025 14:00:00;0;0;1639.8;0;0;0;0;0;1639.8;0;-1639.8
03.01.2025 14:00:00;03.01.2025 15:00:00;0;0;1610.9;0;0;0;0;0;1610.9;0;-1610.9
03.01.2025 15:00:00;03.01.2025 16:00:00;0;0;1334.7;0;0;0;233.2;0;1567.9;0;-1567.9
03.01.2025 16:00:00;03.01.2025 17:00:00;0;0;1297.2;0;0;0;381.2;0;1678.4;0;-1678.4
03.01.2025 17:00:00;03.01.2025 18:00:00;0;0;1300.1;0;0;0;227.5;0;1527.6;0;-1527.6
03.01.2025 18:00:00;03.01.2025 19:00:00;0;0;1177.4;0;0;0;358.2;0;1535.6;0;-1535.6
03.01.2025 19:00:00;03.01.2025 20:00:00;0;0;559.4;0;0;0;856.7;0;1416.1;0;-1416.1
03.01.2025 20:00:00;03.01.2025 21:00:00;0;0;0;0;0;0;1234.6;0;1234.6;0;-1234.6
03.01.2025 21:00:00;03.01.2025 22:00:00;0;0;0;0;0;0;1204.6;0;1204.6;0;-1204.6
03.01.2025 22:00:00;03.01.2025 23:00:00;0;0;0;0;0;0;1046.3;0;1046.3;0;-1046.3
03.01.2025 23:00:00;04.01.2025 00:00:00;0;0;0;0;0;0;1022.4;0;1022.4;0;-1022.4
04.01.2025 00:00:00;04.01.2025 01:00:00;0;0;0;0;0;0;1048.1;0;1048.1;0;-1048.1
04.01.2025 01:00:00;04.01.2025 02:00:00;0;0;0;0;0;0;969.3;0;969.3;0;-969.3
04.01.2025 02:00:00;04.01.2025 03:00:00;0;0;0;0;34.7;0;954.1;0;988.8;0;-988.8
04.01.2025 03:00:00;04.01.2025 04:00:00;0;0;117.2;0;63.2;0;833.5;0;1013.9;0;-1013.9
04.01.2025 04:00:00;04.01.2025 05:00:00;0;0;233.1;0;96.6;0;721.4;0;1051.1;0;-1051.1
04.01.2025 05:00:00;04.01.2025 06:00:00;0;0;123.1;0;41.8;0;834.8;0;999.7;0;-999.7
04.01.2025 06:00:00;04.01.2025 07:00:00;0;0;49.7;0;137.8;0;814.7;0;1002.2;0;-1002.2
04.01.2025 07:00:00;04.01.2025 08:00:00;0;0;677.9;0;107.5;0;528.7;0;1314.1;0;-1314.1
04.01.2025 08:00:00;04.01.2025 09:00:00;0;0;787.7;0;28.8;0;610.1;0;1426.6;0;-1426.6
04.01.2025 09:00:00;04.01.2025 10:00:00;0;0;686;0;57.3;0;639.6;0;1382.9;0;-1382.9
04.01.2025 10:00:00;04.01.2025 11:00:00;0;0;884;0;9.1;0;551.4;0;1444.5;0;-1444.5
04.01.2025 11:00:00;04.01.2025 12:00:00;0;0;1023.7;0;0;0;402.9;0;1426.6;0;-1426.6
04.01.2025 12:00:00;04.01.2025 13:00:00;0;0;1205;0;0;0;250.7;0;1455.7;0;-1455.7
04.01.2025 13:00:00;04.01.2025 14:00:00;0;0;776;0;0;0;641.2;0;1417.2;0;-1417.2
04.01.2025 14:00:00;04.01.2025 15:00:00;0;0;476.4;0;0;0;808.1;0;1284.5;0;-1284.5
04.01.2025 15:00:00;04.01.2025 16:00:00;0;0;430.5;0;0;0;859.5;0;1290;0;-1290
04.01.2025 16:00:00;04.01.2025 17:00:00;0;0;516;0;0;0;680.7;0;1196.7;0;-1196.7
04.01.2025 17:00:00;04.01.2025 18:00:00;0;0;930.1;0;0;0;331.2;0;1261.3;0;-1261.3
04.01.2025 18:00:00;04.01.2025 19:00:00;0;0;456.6;0;0;0;713.7;0;1170.3;0;-1170.3
04.01.2025 19:00:00;04.01.2025 20:00:00;0;0;354.8;0;0;0;772.4;0;1127.2;0;-1127.2
04.01.2025 20:00:00;04.01.2025 21:00:00;0;0;338.6;0;0;0;815.9;0;1154.5;0;-1154.5
04.01.2025 21:00:00;04.01.2025 22:00:00;0;0;0;0;0;0;1046;0;1046;0;-1046
04.01.2025 22:00:00;04.01.2025 23:00:00;0;0;0;0;0;0;1003.3;0;1003.3;0;-1003.3
04.01.2025 23:00:00;05.01.2025 00:00:00;0;0;0;0;0;0;961;0;961;0;-961
05.01.2025 00:00:00;05.01.2025 01:00:00;0;0;0;0;0;0;1110.3;0;1110.3;0;-1110.3
05.01.2025 01:00:00;05.01.2025 02:00:00;0;0;0;0;0;0;1049.9;0;1049.9;0;-1049.9
