Delivery Start (CET);Delivery End (CET);FI Price (NOK);NO3 Price (NOK);NO4 Price (NOK);SE1 Price (NOK);SE2 Price (NOK)
01.01.2021 00:00:00;01.01.2021 01:00:00;260.59;248.27;194.79;260.59;260.59
01.01.2021 01:00:00;01.01.2021 02:00:00;254.32;239.49;194.37;254.32;254.32
01.01.2021 02:00:00;01.01.2021 03:00:00;250.46;247.33;193.95;250.46;250.46
01.01.2021 03:00:00;01.01.2021 04:00:00;247.74;246.8;193.95;247.74;247.74
01.01.2021 04:00:00;01.01.2021 05:00:00;247.85;247.64;194.16;247.85;247.85
01.01.2021 05:00:00;01.01.2021 06:00:00;251.29;249.52;195;251.29;251.29
01.01.2021 06:00:00;01.01.2021 07:00:00;255.26;254.43;195.42;255.26;255.26
01.01.2021 07:00:00;01.01.2021 08:00:00;260.38;260.38;193.43;260.38;260.38
01.01.2021 08:00:00;01.01.2021 09:00:00;260.07;260.07;194.48;260.07;260.07
01.01.2021 09:00:00;01.01.2021 10:00:00;261.84;261.84;196.36;261.84;261.84
01.01.2021 10:00:00;01.01.2021 11:00:00;267.69;267.69;197.82;267.69;267.69
01.01.2021 11:00:00;01.01.2021 12:00:00;270.72;270.72;198.45;270.72;270.72
01.01.2021 12:00:00;01.01.2021 13:00:00;272.91;272.91;238.97;272.91;272.91
01.01.2021 13:00:00;01.01.2021 14:00:00;277.51;277.51;277.51;277.51;277.51
01.01.2021 14:00:00;01.01.2021 15:00:00;285.13;285.13;285.13;285.13;285.13
01.01.2021 15:00:00;01.01.2021 16:00:00;298.82;298.82;298.82;298.82;298.82
01.01.2021 16:00:00;01.01.2021 17:00:00;315.95;315.95;315.95;315.95;315.95
01.01.2021 17:00:00;01.01.2021 18:00:00;315.32;315.32;315.32;315.32;315.32
01.01.2021 18:00:00;01.01.2021 19:00:00;301.01;301.01;301.01;301.01;301.01
01.01.2021 19:00:00;01.01.2021 20:00:00;295.06;295.06;295.06;295.06;295.06
01.01.2021 20:00:00;01.01.2021 21:00:00;285.34;285.34;285.34;285.34;285.34
01.01.2021 21:00:00;01.01.2021 22:00:00;295.06;261.01;261.01;281.79;281.79
01.01.2021 22:00:00;01.01.2021 23:00:00;282.11;239.39;239.39;276.15;276.15
01.01.2021 23:00:00;02.01.2021 00:00:00;267.8;227.79;227.79;267.8;267.8
02.01.2021 00:00:00;02.01.2021 01:00:00;267.27;230.09;203.15;267.27;267.27
02.01.2021 01:00:00;02.01.2021 02:00:00;260.17;230.72;202.62;260.17;260.17
02.01.2021 02:00:00;02.01.2021 03:00:00;258.4;229.78;202.31;258.4;258.4
02.01.2021 03:00:00;02.01.2021 04:00:00;257.56;230.09;202.94;257.56;257.56
02.01.2021 04:00:00;02.01.2021 05:00:00;258.19;230.72;203.35;258.19;258.19
02.01.2021 05:00:00;02.01.2021 06:00:00;260.28;246.07;203.67;260.28;260.28
02.01.2021 06:00:00;02.01.2021 07:00:00;267.59;254.95;203.67;267.59;267.59
02.01.2021 07:00:00;02.01.2021 08:00:00;273.54;268.84;209.41;273.54;273.54
02.01.2021 08:00:00;02.01.2021 09:00:00;292.65;270.2;217.04;292.65;292.65
02.01.2021 09:00:00;02.01.2021 10:00:00;288.79;280.85;237.19;288.79;288.79
02.01.2021 10:00:00;02.01.2021 11:00:00;301.11;289.31;272.5;301.11;301.11
02.01.2021 11:00:00;02.01.2021 12:00:00;310.83;310.83;310.83;310.83;310.83
02.01.2021 12:00:00;02.01.2021 13:00:00;298.92;298.92;298.92;298.92;298.92
02.01.2021 13:00:00;02.01.2021 14:00:00;299.97;299.97;299.97;299.97;299.97
02.01.2021 14:00:00;02.01.2021 15:00:00;383.63;301.74;301.74;301.74;301.74
02.01.2021 15:00:00;02.01.2021 16:00:00;480.97;415.06;371.2;415.06;415.06
02.01.2021 16:00:00;02.01.2021 17:00:00;614.97;614.97;365.66;614.97;614.97
02.01.2021 17:00:00;02.01.2021 18:00:00;632;632;335.16;632;632
02.01.2021 18:00:00;02.01.2021 19:00:00;625;625;330.15;625;625
02.01.2021 19:00:00;02.01.2021 20:00:00;419.35;312.71;246.18;312.71;312.71
02.01.2021 20:00:00;02.01.2021 21:00:00;285.97;285.97;224.66;285.97;285.97
02.01.2021 21:00:00;02.01.2021 22:00:00;325.35;281.58;217.14;281.58;281.58
02.01.2021 22:00:00;02.01.2021 23:00:00;291.51;280.43;216.2;280.43;280.43
02.01.2021 23:00:00;03.01.2021 00:00:00;270.93;270.93;207.53;270.93;270.93
03.01.2021 00:00:00;03.01.2021 01:00:00;263.93;263.93;239.07;263.93;263.93
03.01.2021 01:00:00;03.01.2021 02:00:00;256.83;256.83;226.44;256.83;256.83
03.01.2021 02:00:00;03.01.2021 03:00:00;249.21;249.21;211.81;249.21;249.21
03.01.2021 03:00:00;03.01.2021 04:00:00;246.18;246.18;208.68;246.18;246.18
03.01.2021 04:00:00;03.01.2021 05:00:00;245.34;245.34;208.58;245.34;245.34
03.01.2021 05:00:00;03.01.2021 06:00:00;249.1;249.1;208.79;249.1;249.1
03.01.2021 06:00:00;03.01.2021 07:00:00;251.19;251.19;208.05;251.19;251.19
03.01.2021 07:00:00;03.01.2021 08:00:00;259.02;259.02;207.95;259.02;259.02
03.01.2021 08:00:00;03.01.2021 09:00:00;260.8;260.8;208.05;260.8;260.8
03.01.2021 09:00:00;03.01.2021 10:00:00;267.9;267.9;218.29;267.9;267.9
03.01.2021 10:00:00;03.01.2021 11:00:00;271.56;271.56;251.29;271.56;271.56
03.01.2021 11:00:00;03.01.2021 12:00:00;272.29;272.29;260.9;272.29;272.29
03.01.2021 12:00:00;03.01.2021 13:00:00;270.2;270.2;262.16;270.2;270.2
03.01.2021 13:00:00;03.01.2021 14:00:00;269.78;269.78;262.89;269.78;269.78
03.01.2021 14:00:00;03.01.2021 15:00:00;271.77;271.77;263.93;271.77;271.77
03.01.2021 15:00:00;03.01.2021 16:00:00;276.78;276.78;263.62;276.78;276.78
03.01.2021 16:00:00;03.01.2021 17:00:00;292.97;292.97;258.5;292.97;292.97
03.01.2021 17:00:00;03.01.2021 18:00:00;297.98;297.98;223.09;297.98;297.98
03.01.2021 18:00:00;03.01.2021 19:00:00;294.22;294.22;244.09;294.22;294.22
03.01.2021 19:00:00;03.01.2021 20:00:00;291.61;291.61;230.2;291.61;291.61
03.01.2021 20:00:00;03.01.2021 21:00:00;287.85;287.85;220.38;287.85;287.85
03.01.2021 21:00:00;03.01.2021 22:00:00;293.7;282.42;208.47;282.42;282.42
03.01.2021 22:00:00;03.01.2021 23:00:00;273.44;273.44;208.16;273.44;273.44
03.01.2021 23:00:00;04.01.2021 00:00:00;260.28;260.28;206.07;260.28;260.28
04.01.2021 00:00:00;04.01.2021 01:00:00;257.56;257.56;205.55;257.56;257.56
04.01.2021 01:00:00;04.01.2021 02:00:00;251.19;251.19;202.73;251.19;251.19
04.01.2021 02:00:00;04.01.2021 03:00:00;249.41;249.41;200.74;249.41;249.41
04.01.2021 03:00:00;04.01.2021 04:00:00;250.98;250.98;199.39;250.98;250.98
04.01.2021 04:00:00;04.01.2021 05:00:00;256.73;256.73;198.97;256.73;256.73
04.01.2021 05:00:00;04.01.2021 06:00:00;269.89;269.89;199.49;269.89;269.89
04.01.2021 06:00:00;04.01.2021 07:00:00;294.64;294.64;200.53;294.64;294.64
04.01.2021 07:00:00;04.01.2021 08:00:00;519.72;322.21;206.07;322.21;322.21
04.01.2021 08:00:00;04.01.2021 09:00:00;568.39;513.87;207.85;513.87;513.87
04.01.2021 09:00:00;04.01.2021 10:00:00;529.75;522.43;208.79;522.43;522.43
04.01.2021 10:00:00;04.01.2021 11:00:00;578.63;578.63;207.85;578.63;578.63
04.01.2021 11:00:00;04.01.2021 12:00:00;590.43;590.43;208.68;590.43;590.43
04.01.2021 12:00:00;04.01.2021 13:00:00;543.85;543.85;208.37;543.85;543.85
04.01.2021 13:00:00;04.01.2021 14:00:00;590.43;590.43;207.01;590.43;590.43
04.01.2021 14:00:00;04.01.2021 15:00:00;605.68;605.68;207.95;605.68;605.68
04.01.2021 15:00:00;04.01.2021 16:00:00;606.09;606.09;208.16;606.09;606.09
04.01.2021 16:00:00;04.01.2021 17:00:00;631.89;631.89;207.22;631.89;631.89
04.01.2021 17:00:00;04.01.2021 18:00:00;681.19;681.19;206.28;681.19;681.19
04.01.2021 18:00:00;04.01.2021 19:00:00;627.19;627.19;205.76;627.19;627.19
04.01.2021 19:00:00;04.01.2021 20:00:00;561.18;561.18;205.44;561.18;561.18
04.01.2021 20:00:00;04.01.2021 21:00:00;393.55;393.55;204.61;393.55;393.55
04.01.2021 21:00:00;04.01.2021 22:00:00;402.01;363.68;203.56;363.68;363.68
04.01.2021 22:00:00;04.01.2021 23:00:00;323.26;323.26;202.73;323.26;323.26
04.01.2021 23:00:00;05.01.2021 00:00:00;285.66;285.66;201.68;285.66;285.66
05.01.2021 00:00:00;05.01.2021 01:00:00;290.23;290.23;199.85;290.23;290.23
05.01.2021 01:00:00;05.01.2021 02:00:00;286.47;286.47;199.64;286.47;286.47
05.01.2021 02:00:00;05.01.2021 03:00:00;282.61;282.61;199.54;282.61;282.61
05.01.2021 03:00:00;05.01.2021 04:00:00;283.23;283.23;199.54;283.23;283.23
05.01.2021 04:00:00;05.01.2021 05:00:00;290.02;290.02;199.85;290.02;290.02
05.01.2021 05:00:00;05.01.2021 06:00:00;311.1;311.1;200.68;311.1;311.1
05.01.2021 06:00:00;05.01.2021 07:00:00;373.4;373.4;202.67;373.4;373.4
05.01.2021 07:00:00;05.01.2021 08:00:00;559.79;559.79;205.9;559.79;559.79
05.01.2021 08:00:00;05.01.2021 09:00:00;626.16;626.16;211.02;626.16;626.16
05.01.2021 09:00:00;05.01.2021 10:00:00;627.41;627.41;211.85;627.41;627.41
05.01.2021 10:00:00;05.01.2021 11:00:00;638.47;638.47;214.36;638.47;638.47
