Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
01.01.2023 00:00:00;01.01.2023 01:00:00;200;133;1295;;39;;589;2256
01.01.2023 01:00:00;01.01.2023 02:00:00;201;130;1328;;44;;551;2254
01.01.2023 02:00:00;01.01.2023 03:00:00;200;133;1221;;44;;497;2095
01.01.2023 03:00:00;01.01.2023 04:00:00;200;131;1197;;40;;440;2008
01.01.2023 04:00:00;01.01.2023 05:00:00;200;131;1209;;39;;419;1998
01.01.2023 05:00:00;01.01.2023 06:00:00;200;132;1296;;36;;436;2100
01.01.2023 06:00:00;01.01.2023 07:00:00;200;133;1264;;34;;564;2195
01.01.2023 07:00:00;01.01.2023 08:00:00;200;133;1280;;30;;637;2280
01.01.2023 08:00:00;01.01.2023 09:00:00;200;131;1258;;33;;589;2211
01.01.2023 09:00:00;01.01.2023 10:00:00;201;132;1324;;36;;577;2270
01.01.2023 10:00:00;01.01.2023 11:00:00;200;133;1328;;40;;524;2225
01.01.2023 11:00:00;01.01.2023 12:00:00;200;136;1383;;50;;527;2296
01.01.2023 12:00:00;01.01.2023 13:00:00;200;133;1322;;40;;563;2258
01.01.2023 13:00:00;01.01.2023 14:00:00;200;133;1380;;37;;519;2269
01.01.2023 14:00:00;01.01.2023 15:00:00;200;132;1476;;38;;493;2339
01.01.2023 15:00:00;01.01.2023 16:00:00;200;134;2000;;39;;419;2792
01.01.2023 16:00:00;01.01.2023 17:00:00;200;152;3091;;38;;407;3888
01.01.2023 17:00:00;01.01.2023 18:00:00;196;152;3042;;39;;364;3793
01.01.2023 18:00:00;01.01.2023 19:00:00;200;151;2933;;36;;266;3586
01.01.2023 19:00:00;01.01.2023 20:00:00;200;152;2821;;37;;226;3436
01.01.2023 20:00:00;01.01.2023 21:00:00;199;156;2775;;37;;233;3400
01.01.2023 21:00:00;01.01.2023 22:00:00;199;158;2880;;39;;281;3557
01.01.2023 22:00:00;01.01.2023 23:00:00;199;154;3249;;42;;322;3966
01.01.2023 23:00:00;02.01.2023 00:00:00;198;157;3246;;44;;309;3954
02.01.2023 00:00:00;02.01.2023 01:00:00;195;135;3316;;49;;271;3966
02.01.2023 01:00:00;02.01.2023 02:00:00;195;137;3358;;50;;226;3966
02.01.2023 02:00:00;02.01.2023 03:00:00;196;134;3316;;52;;251;3949
02.01.2023 03:00:00;02.01.2023 04:00:00;192;138;3311;;51;;232;3924
02.01.2023 04:00:00;02.01.2023 05:00:00;196;136;3398;;50;;217;3997
02.01.2023 05:00:00;02.01.2023 06:00:00;196;134;3398;;50;;177;3955
02.01.2023 06:00:00;02.01.2023 07:00:00;195;137;3423;;49;;134;3938
02.01.2023 07:00:00;02.01.2023 08:00:00;196;153;3631;;46;;107;4133
02.01.2023 08:00:00;02.01.2023 09:00:00;196;154;3778;;46;;154;4328
02.01.2023 09:00:00;02.01.2023 10:00:00;195;157;3672;;46;;188;4258
02.01.2023 10:00:00;02.01.2023 11:00:00;195;156;3729;;47;;236;4363
02.01.2023 11:00:00;02.01.2023 12:00:00;195;160;3773;;48;;275;4451
02.01.2023 12:00:00;02.01.2023 13:00:00;195;158;3792;;48;;311;4504
02.01.2023 13:00:00;02.01.2023 14:00:00;195;159;3772;;51;;282;4459
