Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Nedbør (døgn)
Narvik Sentrum;SN84701;01.01.2020;1,3;3,8
Narvik Sentrum;SN84701;02.01.2020;9,9;18,2
Narvik Sentrum;SN84701;03.01.2020;7,8;16,8
Narvik Sentrum;SN84701;04.01.2020;1,2;9,9
Narvik Sentrum;SN84701;05.01.2020;-0,5;3,5
Narvik Sentrum;SN84701;06.01.2020;2,8;3,7
Narvik Sentrum;SN84701;07.01.2020;7,2;7,4
Narvik Sentrum;SN84701;08.01.2020;8,5;2,1
Narvik Sentrum;SN84701;09.01.2020;3,9;6,2
Narvik Sentrum;SN84701;10.01.2020;3,3;1,7
Narvik Sentrum;SN84701;11.01.2020;6,3;5,6
Narvik Sentrum;SN84701;12.01.2020;5;7,2
Narvik Sentrum;SN84701;13.01.2020;4,6;0,3
Narvik Sentrum;SN84701;14.01.2020;4,2;0
Narvik Sentrum;SN84701;15.01.2020;-0,4;2,2
Narvik Sentrum;SN84701;16.01.2020;-0,1;0,8
Narvik Sentrum;SN84701;17.01.2020;-0,8;3,6
Narvik Sentrum;SN84701;18.01.2020;-1,2;0
Narvik Sentrum;SN84701;19.01.2020;-1,3;0
Narvik Sentrum;SN84701;20.01.2020;7;4,5
Narvik Sentrum;SN84701;21.01.2020;3,7;11,8
Narvik Sentrum;SN84701;22.01.2020;1,3;5,5
Narvik Sentrum;SN84701;23.01.2020;4,5;4,4
Narvik Sentrum;SN84701;24.01.2020;4,3;7,5
Narvik Sentrum;SN84701;25.01.2020;0,9;1,5
Narvik Sentrum;SN84701;26.01.2020;-2,9;1,5
Narvik Sentrum;SN84701;27.01.2020;-4,8;0
Narvik Sentrum;SN84701;28.01.2020;-4,8;0
Narvik Sentrum;SN84701;29.01.2020;-5;0
Narvik Sentrum;SN84701;30.01.2020;-1,4;0
Narvik Sentrum;SN84701;31.01.2020;0,7;0
Narvik Sentrum;SN84701;01.02.2020;4;0
Narvik Sentrum;SN84701;02.02.2020;1,2;0
Narvik Sentrum;SN84701;03.02.2020;0,2;3,7
Narvik Sentrum;SN84701;04.02.2020;-0,6;0,2
Narvik Sentrum;SN84701;05.02.2020;-1,6;1,6
Narvik Sentrum;SN84701;06.02.2020;-1,1;2
Narvik Sentrum;SN84701;07.02.2020;3;5,7
Narvik Sentrum;SN84701;08.02.2020;5,7;2,2
Narvik Sentrum;SN84701;09.02.2020;2,1;0
Narvik Sentrum;SN84701;10.02.2020;2,8;0
Narvik Sentrum;SN84701;11.02.2020;3,5;6,1
Narvik Sentrum;SN84701;12.02.2020;3,7;0,6
Narvik Sentrum;SN84701;13.02.2020;0,5;1,4
Narvik Sentrum;SN84701;14.02.2020;1,5;0
Narvik Sentrum;SN84701;15.02.2020;-0,9;5
Narvik Sentrum;SN84701;16.02.2020;5,6;0
Narvik Sentrum;SN84701;17.02.2020;1,2;0
Narvik Sentrum;SN84701;18.02.2020;1;2,8
Narvik Sentrum;SN84701;19.02.2020;-0,3;1,8
Narvik Sentrum;SN84701;20.02.2020;-2,1;0
Narvik Sentrum;SN84701;21.02.2020;6,3;0
Narvik Sentrum;SN84701;22.02.2020;6,7;0
Narvik Sentrum;SN84701;23.02.2020;4,9;0
Narvik Sentrum;SN84701;24.02.2020;1,9;10,6
Narvik Sentrum;SN84701;25.02.2020;-1,1;1,9
Narvik Sentrum;SN84701;26.02.2020;2,1;0,6
Narvik Sentrum;SN84701;27.02.2020;3,9;4,1
Narvik Sentrum;SN84701;28.02.2020;2,3;0
Narvik Sentrum;SN84701;29.02.2020;-1,4;0
Narvik Sentrum;SN84701;01.03.2020;-2,1;0,9
Narvik Sentrum;SN84701;02.03.2020;-2,3;0
Narvik Sentrum;SN84701;03.03.2020;0,8;0
Narvik Sentrum;SN84701;04.03.2020;2,7;0
Narvik Sentrum;SN84701;05.03.2020;-1,5;0
Narvik Sentrum;SN84701;06.03.2020;3;1,8
Narvik Sentrum;SN84701;07.03.2020;5;1,7
Narvik Sentrum;SN84701;08.03.2020;4,5;0
Narvik Sentrum;SN84701;09.03.2020;8,8;0,9
Narvik Sentrum;SN84701;10.03.2020;6,6;1,3
Narvik Sentrum;SN84701;11.03.2020;-0,5;0
Narvik Sentrum;SN84701;12.03.2020;-0,3;0
Narvik Sentrum;SN84701;13.03.2020;-1,6;0,8
Narvik Sentrum;SN84701;14.03.2020;-0,4;4,4
Narvik Sentrum;SN84701;15.03.2020;3,6;0,3
Narvik Sentrum;SN84701;16.03.2020;2,8;1,3
Narvik Sentrum;SN84701;17.03.2020;2,1;0
Narvik Sentrum;SN84701;18.03.2020;4,7;1
Narvik Sentrum;SN84701;19.03.2020;3,1;4,1
Narvik Sentrum;SN84701;20.03.2020;-0,3;0,3
Narvik Sentrum;SN84701;21.03.2020;2,7;0,4
Narvik Sentrum;SN84701;22.03.2020;5,8;0
Narvik Sentrum;SN84701;23.03.2020;7,5;0,6
Narvik Sentrum;SN84701;24.03.2020;8;0
Narvik Sentrum;SN84701;25.03.2020;6,4;9,1
Narvik Sentrum;SN84701;26.03.2020;6,8;0,8
Narvik Sentrum;SN84701;27.03.2020;5;0,8
Narvik Sentrum;SN84701;28.03.2020;4,6;4,6
Narvik Sentrum;SN84701;29.03.2020;-1,2;4,1
Narvik Sentrum;SN84701;30.03.2020;-0,2;0,2
Narvik Sentrum;SN84701;31.03.2020;3,4;4,5
Narvik Sentrum;SN84701;01.04.2020;3,1;0,3
Narvik Sentrum;SN84701;02.04.2020;-1,7;0
Narvik Sentrum;SN84701;03.04.2020;2;0
Narvik Sentrum;SN84701;04.04.2020;0,3;0,3
Narvik Sentrum;SN84701;05.04.2020;0,5;0,9
Narvik Sentrum;SN84701;06.04.2020;2,2;0
Narvik Sentrum;SN84701;07.04.2020;6,4;0
Narvik Sentrum;SN84701;08.04.2020;8,4;3,3
Narvik Sentrum;SN84701;09.04.2020;3,9;2,8
Narvik Sentrum;SN84701;10.04.2020;1,8;0,6
Narvik Sentrum;SN84701;11.04.2020;2,3;1,1
Narvik Sentrum;SN84701;12.04.2020;1,4;0
Narvik Sentrum;SN84701;13.04.2020;3,9;1
Narvik Sentrum;SN84701;14.04.2020;4,6;0
Narvik Sentrum;SN84701;15.04.2020;6,6;5
Narvik Sentrum;SN84701;16.04.2020;5;0,3
Narvik Sentrum;SN84701;17.04.2020;3,8;-
Narvik Sentrum;SN84701;18.04.2020;4,4;-
Narvik Sentrum;SN84701;19.04.2020;5,3;-
Narvik Sentrum;SN84701;20.04.2020;7,5;-
Narvik Sentrum;SN84701;21.04.2020;7,8;-
Narvik Sentrum;SN84701;22.04.2020;5,7;-
Narvik Sentrum;SN84701;23.04.2020;4,2;-
Narvik Sentrum;SN84701;24.04.2020;5,4;-
Narvik Sentrum;SN84701;25.04.2020;3,7;-
Narvik Sentrum;SN84701;26.04.2020;4,1;-
Narvik Sentrum;SN84701;27.04.2020;4;-
Narvik Sentrum;SN84701;28.04.2020;4,3;-
Narvik Sentrum;SN84701;29.04.2020;5,3;-
Narvik Sentrum;SN84701;30.04.2020;6,8;-
Narvik Sentrum;SN84701;01.05.2020;6,7;-
Narvik Sentrum;SN84701;02.05.2020;8,7;-
Narvik Sentrum;SN84701;03.05.2020;7,1;-
Narvik Sentrum;SN84701;04.05.2020;4,8;-
Narvik Sentrum;SN84701;05.05.2020;7,8;-
Narvik Sentrum;SN84701;06.05.2020;6,8;-
Narvik Sentrum;SN84701;07.05.2020;4,7;-
Narvik Sentrum;SN84701;08.05.2020;4,3;-
Narvik Sentrum;SN84701;09.05.2020;3,8;-
Narvik Sentrum;SN84701;10.05.2020;4,3;-
Narvik Sentrum;SN84701;11.05.2020;3,5;-
Narvik Sentrum;SN84701;12.05.2020;3,6;-
Narvik Sentrum;SN84701;13.05.2020;4,4;-
Narvik Sentrum;SN84701;14.05.2020;5,2;-
Narvik Sentrum;SN84701;15.05.2020;4,3;-
Narvik Sentrum;SN84701;16.05.2020;9,6;-
Narvik Sentrum;SN84701;17.05.2020;8,7;-
Narvik Sentrum;SN84701;18.05.2020;6;-
Narvik Sentrum;SN84701;19.05.2020;6,8;-
Narvik Sentrum;SN84701;20.05.2020;7,1;-
Narvik Sentrum;SN84701;21.05.2020;8,7;-
